pl_name,hostname,disc_year,discoverymethod,sy_dist,pl_orbper,decade,5-years period
11 Com b,11 Com,2007,Radial Velocity,93.1846,323.21,2005,2005
11 UMi b,11 UMi,2009,Radial Velocity,125.321,516.21997,2005,2005
14 And b,14 And,2008,Radial Velocity,75.4392,186.76,2005,2005
14 Her b,14 Her,2002,Radial Velocity,17.9323,1765.0389,2000,2000
16 Cyg B b,16 Cyg B,1996,Radial Velocity,21.1397,798.5,1995,1995
17 Sco b,17 Sco,2020,Radial Velocity,124.953,578.38,2020,2020
18 Del b,18 Del,2008,Radial Velocity,76.222,982.85,2005,2005
1RXS J160929.1-210524 b,1RXS J160929.1-210524,2008,Imaging,139.135,,2005,2005
24 Boo b,24 Boo,2018,Radial Velocity,95.9863,30.33,2015,2015
24 Sex b,24 Sex,2010,Radial Velocity,72.0691,452.8,2010,2010
24 Sex c,24 Sex,2010,Radial Velocity,72.0691,883.0,2010,2010
2M0437 b,2MASS J04372171+2651014,2021,Imaging,128.484,,2020,2020
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2013,Imaging,,,2010,2010
2MASS J01225093-2439505 b,2MASS J01225093-2439505,2013,Imaging,33.8281,,2010,2010
2MASS J02192210-3925225 b,2MASS J02192210-3925225,2015,Imaging,,,2015,2015
2MASS J0249-0557 c,2MASS J0249-0557 A,2018,Imaging,66.0613,,2015,2015
2MASS J03590986+2009361 b,2MASS J03590986+2009361,2024,Imaging,117.435,,2020,2020
2MASS J04414489+2301513 b,2MASS J04414489+2301513,2010,Imaging,,,2010,2010
2MASS J11011926-7732383 b,2MASS J11011926-7732383,2024,Imaging,,,2020,2020
2MASS J11550485-7919108 b,2MASS J11550485-7919108,2024,Imaging,100.862,,2020,2020
2MASS J12073346-3932539 b,2MASS J12073346-3932539,2004,Imaging,64.308,,2000,2000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2015,Eclipse Timing Variations,396.332,406.0,2015,2015
2MASS J21252752-8138278 b,2MASS J21252752-8138278,2024,Imaging,34.1154,,2020,2020
2MASS J22362452+4751425 b,2MASS J22362452+4751425,2016,Imaging,69.5737,,2015,2015
30 Ari B b,30 Ari B,2009,Radial Velocity,44.657,335.10001,2005,2005
4 UMa b,4 UMa,2006,Radial Velocity,73.4603,270.27,2005,2005
47 UMa b,47 UMa,1996,Radial Velocity,13.7967,1078.0,1995,1995
47 UMa c,47 UMa,2001,Radial Velocity,13.7967,2391.0,2000,2000
47 UMa d,47 UMa,2009,Radial Velocity,13.7967,14002.0,2005,2005
51 Eri b,51 Eri,2015,Imaging,29.7575,9100.0,2015,2015
51 Peg b,51 Peg,1995,Radial Velocity,15.4614,4.230785,1995,1995
55 Cnc B b,55 Cnc B,2025,Radial Velocity,12.4773,6.7994,2025,2025
55 Cnc B c,55 Cnc B,2025,Radial Velocity,12.4773,33.747,2025,2025
55 Cnc b,55 Cnc,1996,Radial Velocity,12.5855,14.651552,1995,1995
55 Cnc c,55 Cnc,2004,Radial Velocity,12.5855,44.3936,2000,2000
55 Cnc d,55 Cnc,2002,Radial Velocity,12.5855,4799.0,2000,2000
55 Cnc e,55 Cnc,2004,Radial Velocity,12.5855,0.7365474,2000,2000
55 Cnc f,55 Cnc,2007,Radial Velocity,12.5855,260.58,2005,2005
6 Lyn b,6 Lyn,2008,Radial Velocity,54.6599,919.86,2005,2005
61 Vir b,61 Vir,2009,Radial Velocity,8.50332,4.215,2005,2005
61 Vir c,61 Vir,2009,Radial Velocity,8.50332,38.021,2005,2005
61 Vir d,61 Vir,2009,Radial Velocity,8.50332,123.01,2005,2005
7 CMa b,7 CMa,2011,Radial Velocity,19.8101,735.1,2010,2010
7 CMa c,7 CMa,2019,Radial Velocity,19.8101,996.0,2015,2015
70 Vir b,70 Vir,1996,Radial Velocity,17.9011,116.688,1995,1995
75 Cet b,75 Cet,2012,Radial Velocity,82.9613,696.62,2010,2010
75 Cet c,75 Cet,2023,Radial Velocity,82.9613,2051.62,2020,2020
8 UMi b,8 UMi,2015,Radial Velocity,162.552,93.4,2015,2015
81 Cet b,81 Cet,2008,Radial Velocity,101.26,1005.57,2005,2005
91 Aqr b,91 Aqr,2013,Radial Velocity,44.0304,181.4,2010,2010
AB Aur b,AB Aur,2022,Imaging,162.127,,2020,2020
AB Pic b,AB Pic,2005,Imaging,50.0475,,2005,2005
AF Lep b,AF Lep,2023,Imaging,26.8564,8030.0,2020,2020
AT2021ueyL b,AT2021ueyL,2025,Microlensing,1040.0,4168.69,2025,2025
AU Mic b,AU Mic,2020,Transit,9.7221,8.46308,2020,2020
AU Mic c,AU Mic,2021,Transit,9.7221,18.85969,2020,2020
AU Mic d,AU Mic,2023,Transit Timing Variations,9.7221,12.73596,2020,2020
AU Mic e,AU Mic,2025,Radial Velocity,9.7221,33.11,2025,2025
BD+03 2562 b,BD+03 2562,2017,Radial Velocity,1070.63,481.9,2015,2015
BD+05 4868 A b,BD+05 4868 A,2025,Transit,43.5687,1.271869,2025,2025
BD+14 4559 b,BD+14 4559,2009,Radial Velocity,49.352,268.94,2005,2005
BD+15 2375 b,BD+15 2375,2016,Radial Velocity,768.045,153.22,2015,2015
BD+15 2940 b,BD+15 2940,2013,Radial Velocity,426.42,137.48,2010,2010
BD+20 2457 b,BD+20 2457,2009,Radial Velocity,1539.71,379.63,2005,2005
BD+20 2457 c,BD+20 2457,2009,Radial Velocity,1539.71,621.99,2005,2005
BD+20 274 b,BD+20 274,2012,Radial Velocity,1322.51,578.2,2010,2010
BD+20 594 b,BD+20 594,2016,Transit,179.461,41.6855,2015,2015
BD+37 3172 b,BD+37 3172,2023,Radial Velocity,454.251,1887.76,2020,2020
BD+42 2315 b,BD+42 2315,2023,Radial Velocity,610.715,123.05,2020,2020
BD+45 564 b,BD+45 564,2021,Radial Velocity,53.622,307.88,2020,2020
BD+48 738 b,BD+48 738,2011,Radial Velocity,871.493,392.6,2010,2010
BD+48 740 b,BD+48 740,2018,Radial Velocity,666.589,733.0,2015,2015
BD+49 828 b,BD+49 828,2015,Radial Velocity,442.042,2590.0,2015,2015
BD+55 362 b,BD+55 362,2021,Radial Velocity,52.5697,265.59,2020,2020
BD+60 1417 b,BD+60 1417,2021,Imaging,44.9543,,2020,2020
BD+63 1405 b,BD+63 1405,2021,Radial Velocity,38.0473,1198.48,2020,2020
BD-06 1339 b,BD-06 1339,2013,Radial Velocity,20.2695,3.8728,2010,2010
BD-06 1339 c,BD-06 1339,2013,Radial Velocity,20.2695,125.94,2010,2010
BD-08 2823 b,BD-08 2823,2009,Radial Velocity,41.3342,5.6,2005,2005
BD-08 2823 c,BD-08 2823,2009,Radial Velocity,41.3342,237.6,2005,2005
BD-10 3166 b,BD-10 3166,2000,Radial Velocity,84.4069,3.48777,2000,2000
BD-11 4672 b,BD-11 4672,2014,Radial Velocity,27.1665,1634.0,2010,2010
BD-11 4672 c,BD-11 4672,2020,Radial Velocity,27.1665,74.2,2020,2020
BD-13 2130 b,BD-13 2130,2007,Radial Velocity,925.214,714.29999,2005,2005
BD-14 3065 b,BD-14 3065 A,2024,Transit,589.423,4.2889731,2020,2020
BD-17 63 b,BD-17 63,2008,Radial Velocity,34.4603,655.57,2005,2005
BD-210397 b,BD-210397,2023,Radial Velocity,23.7324,1891.0,2020,2020
BD-210397 c,BD-210397,2023,Radial Velocity,23.7324,6240.0,2020,2020
BEBOP-3 b,BEBOP-3,2025,Radial Velocity,119.052,547.0,2025,2025
Barnard b,Barnard's star,2024,Radial Velocity,1.82655,3.1542,2020,2020
Barnard c,Barnard's star,2025,Radial Velocity,1.82655,4.1244,2025,2025
Barnard d,Barnard's star,2025,Radial Velocity,1.82655,2.3402,2025,2025
Barnard e,Barnard's star,2025,Radial Velocity,1.82655,6.7392,2025,2025
CD Cet b,CD Cet,2020,Radial Velocity,8.60715,2.2907,2020,2020
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,2011,Imaging,,10037.5,2010,2010
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,2021,Imaging,,8040000.0,2020,2020
CHXR 73 b,CHXR 73,2006,Imaging,190.374,,2005,2005
CI Tau c,CI Tau,2024,Radial Velocity,157.998,25.2,2020,2020
COCONUTS-2 b,COCONUTS-2 A,2021,Imaging,10.8864,,2020,2020
CT Cha b,CT Cha,2007,Imaging,190.72,,2005,2005
CoRoT-1 b,CoRoT-1,2008,Transit,787.909,1.5089557,2005,2005
CoRoT-10 b,CoRoT-10,2010,Transit,338.386,13.2406,2010,2010
CoRoT-11 b,CoRoT-11,2010,Transit,655.037,2.99433,2010,2010
CoRoT-12 b,CoRoT-12,2010,Transit,1126.37,2.828042,2010,2010
CoRoT-13 b,CoRoT-13,2010,Transit,1148.93,4.03519,2010,2010
CoRoT-14 b,CoRoT-14,2010,Transit,1744.6,1.51214,2010,2010
CoRoT-16 b,CoRoT-16,2011,Transit,732.409,5.35227,2010,2010
CoRoT-17 b,CoRoT-17,2011,Transit,1176.12,3.7681,2010,2010
CoRoT-18 b,CoRoT-18,2011,Transit,764.889,1.9000693,2010,2010
CoRoT-19 b,CoRoT-19,2011,Transit,790.663,3.89713,2010,2010
CoRoT-2 b,CoRoT-2,2008,Transit,213.283,1.7429935,2005,2005
CoRoT-20 b,CoRoT-20,2011,Transit,844.061,9.24285,2010,2010
CoRoT-20 c,CoRoT-20,2018,Radial Velocity,844.061,1675.0,2015,2015
CoRoT-21 b,CoRoT-21,2012,Transit,,2.72474,2010,2010
CoRoT-22 b,CoRoT-22,2014,Transit,627.158,9.75598,2010,2010
CoRoT-23 b,CoRoT-23,2011,Transit,1060.97,3.6313,2010,2010
CoRoT-24 b,CoRoT-24,2014,Transit,591.555,5.1134,2010,2010
CoRoT-24 c,CoRoT-24,2014,Transit,591.555,11.759,2010,2010
CoRoT-25 b,CoRoT-25,2013,Transit,1103.48,4.86069,2010,2010
CoRoT-26 b,CoRoT-26,2013,Transit,1045.18,4.20474,2010,2010
CoRoT-27 b,CoRoT-27,2014,Transit,1010.28,3.57532,2010,2010
CoRoT-28 b,CoRoT-28,2015,Transit,766.183,5.20851,2015,2015
CoRoT-29 b,CoRoT-29,2015,Transit,806.507,2.85057,2015,2015
CoRoT-3 b,CoRoT-3,2008,Transit,768.771,4.2568,2005,2005
CoRoT-30 b,CoRoT-30,2020,Transit,1032.23,9.06005,2020,2020
CoRoT-31 b,CoRoT-31,2020,Transit,2005.76,4.62941,2020,2020
CoRoT-32 b,CoRoT-32,2018,Transit,576.683,6.71837,2015,2015
CoRoT-35 b,CoRoT-35,2022,Transit,1123.21,3.22748,2020,2020
CoRoT-36 b,CoRoT-36,2022,Transit,925.958,5.616531,2020,2020
CoRoT-4 b,CoRoT-4,2008,Transit,726.412,9.20205,2005,2005
CoRoT-5 b,CoRoT-5,2009,Transit,882.472,4.0378962,2005,2005
CoRoT-6 b,CoRoT-6,2009,Transit,645.294,8.886593,2005,2005
CoRoT-7 b,CoRoT-7,2009,Transit,159.906,0.85359163,2005,2005
CoRoT-7 c,CoRoT-7,2009,Radial Velocity,159.906,3.698,2005,2005
CoRoT-7 d,CoRoT-7,2022,Radial Velocity,159.906,8.966,2020,2020
CoRoT-8 b,CoRoT-8,2010,Transit,322.037,6.21229,2010,2010
CoRoT-9 b,CoRoT-9,2009,Transit,412.98,95.272656,2005,2005
DE CVn b,DE CVn,2018,Eclipse Timing Variations,30.5225,4098.1,2015,2015
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,2013,Astrometry,,246.36,2010,2010
DH Tau b,DH Tau,2004,Imaging,134.846,,2000,2000
DMPP-1 b,DMPP-1,2019,Radial Velocity,62.5388,18.57,2015,2015
DMPP-1 c,DMPP-1,2019,Radial Velocity,62.5388,6.584,2015,2015
DMPP-1 d,DMPP-1,2019,Radial Velocity,62.5388,2.882,2015,2015
DMPP-1 e,DMPP-1,2019,Radial Velocity,62.5388,5.516,2015,2015
DMPP-2 b,DMPP-2,2019,Radial Velocity,137.94,5.2072,2015,2015
DMPP-3 A b,DMPP-3 A,2019,Radial Velocity,45.23,6.6732,2015,2015
DMPP-4 b,DMPP-4,2023,Radial Velocity,25.3284,3.4982,2020,2020
DP Leo b,DP Leo,2009,Eclipse Timing Variations,305.684,10220.0,2005,2005
DS Tuc A b,DS Tuc A,2019,Transit,44.0622,8.138268,2015,2015
EPIC 201170410.02,EPIC 201170410,2020,Transit,,6.7987,2020,2020
EPIC 201238110 b,EPIC 201238110,2019,Transit,159.259,28.1656,2015,2015
EPIC 201427007 b,EPIC 201427007,2021,Transit,706.391,0.72091,2020,2020
EPIC 201497682 b,EPIC 201497682,2019,Transit,253.026,2.13174,2015,2015
EPIC 201595106 b,EPIC 201595106,2021,Transit,232.1,0.87724,2020,2020
EPIC 201615463 c,K2-166,2019,Transit,476.882,3.80464,2015,2015
EPIC 201754305 d,K2-16,2019,Transit,334.967,2.71578,2015,2015
EPIC 201757695.02,EPIC 201757695,2020,Transit,,2.0478,2020,2020
EPIC 201833600 c,K2-50,2019,Transit,257.443,3.96151,2015,2015
EPIC 201841433 b,EPIC 201841433,2019,Transit,436.488,4.1698,2015,2015
EPIC 205950854 c,K2-168,2019,Transit,243.935,8.050722,2015,2015
EPIC 206024342 b,EPIC 206024342,2019,Transit,369.888,4.50756,2015,2015
EPIC 206024342 c,EPIC 206024342,2021,Transit,369.888,0.911724,2020,2020
EPIC 206024342 d,EPIC 206024342,2021,Transit,369.888,14.647531,2020,2020
EPIC 206032309 b,EPIC 206032309,2019,Transit,161.365,2.87814,2015,2015
EPIC 206042996 b,EPIC 206042996,2019,Transit,451.769,5.2986,2015,2015
EPIC 206042996 c,EPIC 206042996,2021,Transit,451.769,0.354884,2020,2020
EPIC 206215704 b,EPIC 206215704,2019,Transit,109.888,2.255436,2015,2015
EPIC 206317286 b,EPIC 206317286,2019,Transit,314.35,1.58252,2015,2015
EPIC 206317286 c,EPIC 206317286,2022,Transit,314.35,17.515472,2020,2020
EPIC 211822797 b,EPIC 211822797,2016,Transit,186.197,21.1701963,2015,2015
EPIC 211945201 b,EPIC 211945201,2018,Transit,181.69,19.49221,2015,2015
EPIC 212297394 b,EPIC 212297394,2019,Transit,418.395,2.289363,2015,2015
EPIC 212297394 c,EPIC 212297394,2021,Transit,418.395,5.213965,2020,2020
EPIC 212424622 b,EPIC 212424622,2019,Transit,611.804,18.0983,2015,2015
EPIC 212499991 b,EPIC 212499991,2019,Transit,283.29,34.885,2015,2015
EPIC 212587672 b,EPIC 212587672,2019,Transit,320.07,15.28078,2015,2015
EPIC 212587672 c,EPIC 212587672,2021,Transit,320.07,23.228555,2020,2020
EPIC 212624936 b,EPIC 212624936,2021,Transit,561.929,0.578657,2020,2020
EPIC 212624936 c,EPIC 212624936,2021,Transit,561.929,11.811437,2020,2020
EPIC 212737443 b,EPIC 212737443,2019,Transit,336.25,13.603,2015,2015
EPIC 212737443 c,EPIC 212737443,2019,Transit,336.25,65.55,2015,2015
EPIC 220492298 b,EPIC 220492298,2021,Transit,624.512,0.762406,2020,2020
EPIC 220554210 c,K2-282,2019,Transit,496.289,0.70531,2015,2015
EPIC 220674823 b,EPIC 220674823,2016,Transit,244.59,0.5713127,2015,2015
EPIC 220674823 c,EPIC 220674823,2016,Transit,244.59,13.33989,2015,2015
EPIC 228836835 b,EPIC 228836835,2021,Transit,150.124,0.728113,2020,2020
EPIC 229004835 b,EPIC 229004835,2023,Transit,121.971,16.141132,2020,2020
EPIC 246851721 b,EPIC 246851721,2018,Transit,372.632,6.180235,2015,2015
EPIC 248847494 b,EPIC 248847494,2018,Transit,551.886,3650.0,2015,2015
EPIC 249893012 b,EPIC 249893012,2020,Transit,321.296,3.5951,2020,2020
EPIC 249893012 c,EPIC 249893012,2020,Transit,321.296,15.624,2020,2020
EPIC 249893012 d,EPIC 249893012,2020,Transit,321.296,35.747,2020,2020
FU Tau b,FU Tau,2008,Imaging,,,2005,2005
G 192-15 b,G 192-15,2025,Radial Velocity,9.53114,2.27476,2025,2025
G 192-15 c,G 192-15,2025,Radial Velocity,9.53114,1219.0,2025,2025
G 196-3 b,G 196-3,2024,Imaging,21.7912,,2020,2020
G 261-6 b,G 261-6,2025,Radial Velocity,10.6267,5.4536,2025,2025
G 264-012 b,G 264-012,2021,Radial Velocity,16.009,2.30538,2020,2020
G 264-012 c,G 264-012,2021,Radial Velocity,16.009,8.0518,2020,2020
G 268-110 b,G 268-110,2025,Radial Velocity,,1.43263,2025,2025
G 9-40 b,G 9-40,2019,Transit,27.9276,5.7459982,2015,2015
GJ 1002 b,GJ 1002,2022,Radial Velocity,4.84867,10.3465,2020,2020
GJ 1002 c,GJ 1002,2022,Radial Velocity,4.84867,21.202,2020,2020
GJ 1061 b,GJ 1061,2020,Radial Velocity,3.67278,3.204,2020,2020
GJ 1061 c,GJ 1061,2020,Radial Velocity,3.67278,6.689,2020,2020
GJ 1061 d,GJ 1061,2020,Radial Velocity,3.67278,13.031,2020,2020
GJ 1132 b,GJ 1132,2015,Transit,12.613,1.62892911,2015,2015
GJ 1132 c,GJ 1132,2018,Radial Velocity,12.613,8.929,2015,2015
GJ 1148 b,GJ 1148,2010,Radial Velocity,11.0143,41.38,2010,2010
GJ 1148 c,GJ 1148,2017,Radial Velocity,11.0143,532.58,2015,2015
GJ 1151 c,GJ 1151,2023,Radial Velocity,8.03625,389.7,2020,2020
GJ 1214 b,GJ 1214,2009,Transit,14.6427,1.580404531,2005,2005
GJ 1252 b,GJ 1252,2020,Transit,20.373,0.5182331,2020,2020
GJ 1265 b,GJ 1265,2018,Radial Velocity,10.2525,3.6511,2015,2015
GJ 1289 b,GJ 1289,2024,Radial Velocity,8.35147,111.74,2020,2020
GJ 143 b,GJ 143,2019,Transit,16.32,35.61253,2015,2015
GJ 15 A b,GJ 15 A,2014,Radial Velocity,3.56228,11.4407,2010,2010
GJ 15 A c,GJ 15 A,2018,Radial Velocity,3.56228,7600.0,2015,2015
GJ 160.2 b,GJ 160.2,2014,Radial Velocity,25.8557,5.2354,2010,2010
GJ 163 b,GJ 163,2013,Radial Velocity,15.1285,8.63182,2010,2010
GJ 163 c,GJ 163,2013,Radial Velocity,15.1285,25.63058,2010,2010
GJ 163 d,GJ 163,2013,Radial Velocity,15.1285,603.95116,2010,2010
GJ 179 b,GJ 179,2009,Radial Velocity,12.356,2288.0,2005,2005
GJ 180 b,GJ 180,2014,Radial Velocity,11.9407,17.133,2010,2010
GJ 180 c,GJ 180,2014,Radial Velocity,11.9407,24.329,2010,2010
GJ 180 d,GJ 180,2020,Radial Velocity,11.9407,106.3,2020,2020
GJ 2030 b,GJ 2030,2022,Radial Velocity,37.0788,2.38129,2020,2020
GJ 2030 c,GJ 2030,2022,Radial Velocity,37.0788,25533.11353,2020,2020
GJ 2056 b,GJ 2056,2020,Radial Velocity,28.4434,69.971,2020,2020
GJ 2126 b,GJ 2126,2025,Radial Velocity,38.129,272.7,2025,2025
GJ 229 A c,GJ 229,2020,Radial Velocity,5.75624,121.93268,2020,2020
GJ 229 b,GJ 229,2014,Radial Velocity,5.75624,579.47495,2010,2010
GJ 238 b,GJ 238,2024,Transit,15.2142,1.7446999,2020,2020
GJ 251 b,GJ 251,2020,Radial Velocity,5.58057,14.237,2020,2020
GJ 251 c,GJ 251,2025,Radial Velocity,5.58057,53.647,2025,2025
GJ 27.1 b,GJ 27.1,2014,Radial Velocity,23.6062,15.819,2010,2010
GJ 273 b,GJ 273,2017,Radial Velocity,5.921535,18.6498,2015,2015
GJ 273 c,GJ 273,2017,Radial Velocity,5.921535,4.7234,2015,2015
GJ 3021 b,GJ 3021,2000,Radial Velocity,17.5559,133.71,2000,2000
GJ 3082 b,GJ 3082,2020,Radial Velocity,16.6186,11.949,2020,2020
GJ 3090 b,GJ 3090,2022,Transit,22.4751,2.8531054,2020,2020
GJ 3138 b,GJ 3138,2017,Radial Velocity,28.4712,1.22003,2015,2015
GJ 3138 c,GJ 3138,2017,Radial Velocity,28.4712,5.974,2015,2015
GJ 3138 d,GJ 3138,2017,Radial Velocity,28.4712,257.8,2015,2015
GJ 317 b,GJ 317,2007,Radial Velocity,15.1968,695.69,2005,2005
GJ 317 c,GJ 317,2018,Radial Velocity,15.1968,6500.0,2015,2015
GJ 3222 b,GJ 3222,2022,Radial Velocity,18.23817,10.66669,2020,2020
GJ 328 b,GJ 328,2013,Radial Velocity,20.5266,3771.0,2010,2010
GJ 328 c,GJ 328,2023,Radial Velocity,20.5266,241.8,2020,2020
GJ 3293 b,GJ 3293,2015,Radial Velocity,20.1903,30.5987,2015,2015
GJ 3293 c,GJ 3293,2015,Radial Velocity,20.1903,122.6196,2015,2015
GJ 3293 d,GJ 3293,2017,Radial Velocity,20.1903,48.1345,2015,2015
GJ 3293 e,GJ 3293,2017,Radial Velocity,20.1903,13.2543,2015,2015
GJ 3323 b,GJ 3323,2017,Radial Velocity,5.37484,5.3636,2015,2015
GJ 3323 c,GJ 3323,2017,Radial Velocity,5.37484,40.54,2015,2015
GJ 3341 b,GJ 3341,2015,Radial Velocity,23.619,14.207,2015,2015
GJ 338 B b,GJ 338 B,2020,Radial Velocity,6.33256,24.422,2020,2020
GJ 341 b,GJ 341,2025,Transit,10.454,7.57686,2025,2025
GJ 3470 b,GJ 3470,2012,Radial Velocity,29.4214,3.3366496,2010,2010
GJ 3473 b,GJ 3473,2020,Transit,27.3644,1.1980035,2020,2020
GJ 3473 c,GJ 3473,2020,Radial Velocity,27.3644,15.509,2020,2020
GJ 3512 b,GJ 3512,2019,Radial Velocity,9.48637,203.109,2015,2015
GJ 3512 c,GJ 3512,2020,Radial Velocity,9.48637,2354.0,2020,2020
GJ 357 b,GJ 357,2019,Transit,9.44181,3.9306,2015,2015
GJ 357 c,GJ 357,2019,Radial Velocity,9.44181,9.1247,2015,2015
GJ 357 d,GJ 357,2019,Radial Velocity,9.44181,55.661,2015,2015
GJ 3634 b,GJ 3634,2010,Radial Velocity,20.3779,2.64561,2010,2010
GJ 367 b,GJ 367,2021,Transit,9.41263,0.3219225,2020,2020
GJ 367 c,GJ 367,2023,Radial Velocity,9.41263,11.5301,2020,2020
GJ 367 d,GJ 367,2023,Radial Velocity,9.41263,34.369,2020,2020
GJ 3779 b,GJ 3779,2018,Radial Velocity,13.743,3.0232,2015,2015
GJ 3929 b,GJ 3929,2022,Transit,15.8095,2.616235,2020,2020
GJ 3929 c,GJ 3929,2022,Radial Velocity,15.8095,15.04,2020,2020
GJ 393 b,GJ 393,2021,Radial Velocity,7.03149,7.02679,2020,2020
GJ 3942 b,GJ 3942,2017,Radial Velocity,16.9287,6.905,2015,2015
GJ 3988 b,GJ 3988,2023,Radial Velocity,9.9105,6.9442,2020,2020
GJ 3998 b,GJ 3998,2016,Radial Velocity,18.1459,2.65033,2015,2015
GJ 3998 c,GJ 3998,2016,Radial Velocity,18.1459,13.727,2015,2015
GJ 3998 d,GJ 3998,2025,Radial Velocity,18.1459,41.78,2025,2025
GJ 411 b,GJ 411,2019,Radial Velocity,5.675773,12.9394,2015,2015
GJ 414 A b,GJ 414 A,2021,Radial Velocity,11.8893,50.8,2020,2020
GJ 414 A c,GJ 414 A,2021,Radial Velocity,11.8893,749.83,2020,2020
GJ 422 b,GJ 422,2014,Radial Velocity,12.6631,20.129,2010,2010
GJ 4276 b,GJ 4276,2019,Radial Velocity,21.3362,13.352,2015,2015
GJ 433 b,GJ 433,2011,Radial Velocity,9.06456,7.3705,2010,2010
GJ 433 c,GJ 433,2014,Radial Velocity,9.06456,5094.105,2010,2010
GJ 433 d,GJ 433,2020,Radial Velocity,9.06456,36.059,2020,2020
GJ 436 b,GJ 436,2004,Radial Velocity,9.75321,2.64388312,2000,2000
GJ 463 b,GJ 463,2022,Radial Velocity,18.3554,3459.0,2020,2020
GJ 480 b,GJ 480,2020,Radial Velocity,14.2358,9.567,2020,2020
GJ 486 b,GJ 486,2021,Radial Velocity,8.07426,1.46712127,2020,2020
GJ 504 b,GJ 504,2013,Imaging,17.5299,,2010,2010
GJ 508.2 b,GJ 508.2,2025,Radial Velocity,16.6374,5300.0,2025,2025
GJ 514 b,GJ 514,2022,Radial Velocity,7.61778,140.43,2020,2020
GJ 536 b,GJ 536,2016,Radial Velocity,10.4092,8.70874,2015,2015
GJ 536 c,GJ 536,2025,Radial Velocity,10.4092,32.761,2025,2025
GJ 581 b,GJ 581,2005,Radial Velocity,6.2981,5.3686,2005,2005
GJ 581 c,GJ 581,2007,Radial Velocity,6.2981,12.9211,2005,2005
GJ 581 e,GJ 581,2009,Radial Velocity,6.2981,3.1481,2005,2005
GJ 625 b,GJ 625,2017,Radial Velocity,6.47249,14.628,2015,2015
GJ 649 b,GJ 649,2009,Radial Velocity,10.3796,600.1,2005,2005
GJ 667 C b,GJ 667 C,2012,Radial Velocity,7.24396,7.203,2010,2010
GJ 667 C c,GJ 667 C,2013,Radial Velocity,7.24396,28.14,2010,2010
GJ 667 C e,GJ 667 C,2013,Radial Velocity,7.24396,62.24,2010,2010
GJ 667 C f,GJ 667 C,2013,Radial Velocity,7.24396,39.026,2010,2010
GJ 667 C g,GJ 667 C,2013,Radial Velocity,7.24396,256.2,2010,2010
GJ 674 b,GJ 674,2007,Radial Velocity,4.54896,4.6938,2005,2005
GJ 676 A b,GJ 676 A,2010,Radial Velocity,16.0272,1051.44521,2010,2010
GJ 676 A c,GJ 676 A,2016,Radial Velocity,16.0272,13921.42302,2015,2015
GJ 676 A d,GJ 676 A,2012,Radial Velocity,16.0272,3.60076,2010,2010
GJ 676 A e,GJ 676 A,2012,Radial Velocity,16.0272,35.47358,2010,2010
GJ 680 b,GJ 680,2022,Radial Velocity,9.67315,17281.66514,2020,2020
GJ 682 b,GJ 682,2014,Radial Velocity,5.00671,17.478,2010,2010
GJ 682 c,GJ 682,2014,Radial Velocity,5.00671,57.32,2010,2010
GJ 685 b,GJ 685,2019,Radial Velocity,14.3155,24.16,2015,2015
GJ 687 b,GJ 687,2014,Radial Velocity,4.54939,38.142,2010,2010
GJ 687 c,GJ 687,2020,Radial Velocity,4.54939,727.562,2020,2020
GJ 720 A b,GJ 720 A,2021,Radial Velocity,15.5575,19.466,2020,2020
GJ 724 b,GJ 724,2023,Radial Velocity,16.9658,5.101284,2020,2020
GJ 740 b,GJ 740,2021,Radial Velocity,11.1017,2.37756,2020,2020
GJ 806 b,GJ 806,2023,Transit,12.0445,0.9263237,2020,2020
GJ 806 c,GJ 806,2023,Radial Velocity,12.0445,6.64064,2020,2020
GJ 832 b,GJ 832,2008,Radial Velocity,4.96435,3853.0,2005,2005
GJ 849 b,GJ 849,2006,Radial Velocity,8.80058,1925.31,2005,2005
GJ 849 c,GJ 849,2014,Radial Velocity,8.80058,5990.0,2010,2010
GJ 86 b,GJ 86,1999,Radial Velocity,10.7836,15.76491,1995,1995
GJ 876 b,GJ 876,1998,Radial Velocity,4.67517,61.1166,1995,1995
GJ 876 c,GJ 876,2000,Radial Velocity,4.67517,30.0881,2000,2000
GJ 876 d,GJ 876,2005,Radial Velocity,4.67517,1.93778,2005,2005
GJ 876 e,GJ 876,2010,Radial Velocity,4.67517,124.26,2010,2010
GJ 887 b,GJ 887,2020,Radial Velocity,3.29,9.262,2020,2020
GJ 887 c,GJ 887,2020,Radial Velocity,3.29,21.789,2020,2020
GJ 896 A b,GJ 896 A,2022,Astrometry,6.26022,284.39,2020,2020
GJ 900 b,GJ 900 A,2024,Imaging,20.8065,,2020,2020
GJ 9066 c,GJ 9066,2020,Radial Velocity,4.471,771.36,2020,2020
GJ 9404 b,GJ 9404,2023,Radial Velocity,23.8839,13.4586,2020,2020
GJ 96 b,GJ 96,2018,Radial Velocity,11.9315,73.94,2015,2015
GJ 9689 b,GJ 9689,2020,Radial Velocity,30.6203,18.27,2020,2020
